,full_name,spec,class,ad,q,a,e,dv,per,price,profit,moid,diameter,profitable
627,2305 King (1980 RJ1),S,MBA,2.873097497073601,2.699398800367909,2.786248148720755,0.03117071549880475,10.498663,1698.744705855315,3.619483709109721e-40,2.6648420972661576e-41,1.7015,12.684,0
626,1188 Gothlandia (1930 SB),S,MBA,2.586057433669122,1.794382561751728,2.190219997710425,0.180729532363183,8.347064,1183.940935424664,3.6075118873752367e-40,3.4082884041017657e-41,0.793823,12.67,0
625,2022 West (1938 CK),S,MBA,3.026342823546736,2.388582904091175,2.707462863818956,0.1177781472053105,9.844221,1627.204698356767,3.576848485057709e-40,2.814324283509368e-41,1.39817,12.634,0
624,2353 Alva (1975 UD),S,MBA,3.121869415031243,2.487930431427428,2.804899923229335,0.1130056331696053,9.993202,1715.830892260869,3.5177235754225856e-40,2.7233309972088746e-41,1.47973,12.564,0
623,2953 Vysheslavia (1979 SV11),S,MBA,2.888968690215865,2.768507559040511,2.828738124628188,0.02129237947595232,10.34358,1737.750981563357,3.5026260699917437e-40,2.6171240714614997e-41,1.75222,12.546,0
622,2430 Bruce Helin (1977 VC),Sl,MBA,2.869140926632479,1.854585288782151,2.361863107707315,0.214778670817033,11.090089,1325.807619708268,3.436875534962006e-40,2.4047612029027847e-41,0.918053,12.467,0
621,2141 Simferopol (1970 QC1),Sl,MBA,3.167996333853405,2.439494426457401,2.803745380155403,0.1299158462377253,9.967871,1714.77160483897,3.4137705669591837e-40,2.6499098958899345e-41,1.43341,12.439,0
620,1110 Jaroslawa (1928 PD),S,MBA,2.75346158541972,1.68320019512635,2.218330890273035,0.2412312326772947,8.150088,1206.8072680553,3.3054352822769127e-40,3.212237875406618e-41,0.681893,12.306,0
619,5565 Ukyounodaibu (1991 VN2),S,MBA,3.416214980637232,2.204242059542489,2.810228520089861,0.2156360083229082,9.8676,1720.72267751831,3.289345247554556e-40,2.5809185659073244e-41,1.24132,12.286,0
618,1587 Kahrstedt (1933 FS1),Sa,MBA,2.937273919659212,2.155772632002552,2.546523275830882,0.1534447564398701,9.506468,1484.293897824535,3.2668358238895112e-40,2.668947668408495e-41,1.18908,15.444,0
617,2911 Miahelena (1938 GJ),S,MBA,3.065607500643803,2.517992156157796,2.7917998284008,0.09807568202332263,10.371499,1703.824430756365,3.2318535536056174e-40,2.4092216980496414e-41,1.53135,12.214,0
616,951 Gaspra (1916 S45),S,MBA,2.593527522577497,1.825949540888753,2.209738531733125,0.1736807252681436,8.401816,1199.802492548263,3.2207529868384998e-40,3.0192594659646095e-41,0.83209,12.2,0
615,1106 Cydonia (1929 CW),S,MBA,2.924229621958718,2.268120678476164,2.596175150217441,0.1263606855314831,10.266389,1527.915757667633,3.1734669988647893e-40,2.3943999434433143e-41,1.29236,12.14,0
613,905 Universitas (1918 ES),S,MBA,2.556097414290885,1.875085377532382,2.215591395911633,0.1536862884589539,8.584132,1204.572465647891,3.118887691659257e-40,2.8529041646881e-41,0.877864,12.07,0
612,3020 Naudts (1949 PR),Sl,MBA,2.925393753091578,2.5987119771129,2.762052865102239,0.05913749517726652,10.251099,1676.665417634564,3.050402377046774e-40,2.3014300025056737e-41,1.58862,11.981,0
611,4748 Tokiwagozen (1989 WV),S,MBA,2.903152015467752,2.584438801139431,2.743795408303591,0.05807889563554827,11.305354,1660.068520954849,3.017676284767865e-40,2.062757730420418e-41,1.56836,11.938,0
610,1058 Grubba (1925 MA),S,MBA,2.608517147157206,1.783899842606248,2.196208494881727,0.1877365711116982,8.273889,1188.799948078628,2.996492607735164e-40,2.8601818746356925e-41,0.774312,11.91,0
609,2386 Nikonov (1974 SN1),S,MBA,3.260313911475908,2.366873125982613,2.81359351872926,0.158772185737905,10.060412,1723.814221000965,2.996492607735164e-40,2.304226668130305e-41,1.36481,11.91,0
608,1056 Azalea (1924 QD),S,MBA,2.62643672339959,1.833424735502452,2.229930729451021,0.1778109017970184,8.500688,1216.285376951975,2.9656528718219907e-40,2.7426611427406004e-41,0.821521,11.869,0
607,1777 Gehrels (4007 P-L),Sq,MBA,2.673820983159523,2.579957170205374,2.626889076682449,0.01786596430495108,10.044393,1555.109694577615,2.9589116193504363e-40,2.2817017087761697e-41,1.59783,11.86,0
606,2451 Dollfus (1980 RQ),S,MBA,3.139523983560027,2.306920540351864,2.723222261955945,0.1528710041115317,9.897701,1641.432620322436,2.949939184576763e-40,2.3082019004947723e-41,1.29659,11.848,0
605,2604 Marshak (1972 LD1),Sa,MBA,2.943933031777775,1.830279435201012,2.387106233489394,0.2332643560125225,9.516335,1347.119265580438,2.9336394406523643e-40,2.398687852748726e-41,0.843541,14.9,0
604,571 Dulcinea (1905 QZ),S,MBA,2.996580514476837,1.821283466003994,2.408931990240416,0.2439456682950079,8.567523,1365.636875950832,2.837853716589549e-40,2.597654520404389e-41,0.827709,11.696,0
